quarter,total_pixeles_median,Suma_de_radianza_trend_sum,Suma_de_radianza_trend_median,Suma_de_radianza_trend_std,Suma_de_radianza_trend_mean,Media_de_radianza_trend_sum,Media_de_radianza_trend_median,Media_de_radianza_trend_std,Media_de_radianza_trend_mean,Desviacion_estandar_de_radianza_trend_sum,Desviacion_estandar_de_radianza_trend_median,Desviacion_estandar_de_radianza_trend_std,Desviacion_estandar_de_radianza_trend_mean,Maximo_de_radianza_trend_sum,Maximo_de_radianza_trend_median,Maximo_de_radianza_trend_std,Maximo_de_radianza_trend_mean,Minimo_de_radianza_trend_sum,Minimo_de_radianza_trend_median,Minimo_de_radianza_trend_std,Minimo_de_radianza_trend_mean,Percentil_25_de_radianza_trend_sum,Percentil_25_de_radianza_trend_median,Percentil_25_de_radianza_trend_std,Percentil_25_de_radianza_trend_mean,Percentil_50_de_radianza_trend_sum,Percentil_50_de_radianza_trend_median,Percentil_50_de_radianza_trend_std,Percentil_50_de_radianza_trend_mean,Percentil_75_de_radianza_trend_sum,Percentil_75_de_radianza_trend_median,Percentil_75_de_radianza_trend_std,Percentil_75_de_radianza_trend_mean,fecha,municipio,pib_mun_desestacionalizado,pib_mun_trend
2017Q1,944.0,25173295.81429283,279675.9861981878,3862.2268139647645,279703.28682547587,26666.62692192037,296.26693453197834,4.0913419639456645,296.2958546880041,12464.628351246556,138.52513103438332,1.3362547321075082,138.49587056940618,79890.95629981652,888.2378763996032,2.8953305845724664,887.6772922201835,2269.025408160974,25.195933386289525,0.08081758778754541,25.211393424010826,19014.24800194859,211.186150029765,3.556539393167441,211.2694222438732,27877.817684310798,309.7060943757733,4.604993847014444,309.7535298256755,34233.82754120303,380.35963356904165,5.286574604664565,380.3758615689225,2017-03-31,Monterrey,226293.11998203042,222422.93806153623
2017Q2,944.0,26609475.810192786,292572.24626826384,3335.0460098573776,292411.8220900306,28188.00403622117,309.9282269790931,3.5328877223066506,309.75828611232055,12962.289315426713,142.5155536292317,0.914919164760135,142.44273972996388,79628.14180708473,874.7751818840685,3.712832569961208,875.0345253525794,2348.9344989127453,25.80343107971826,0.26362588055821945,25.81246702101918,20354.848166866206,223.78999626108555,3.4601937685781796,223.67965018534292,29580.30589070104,325.24583799222955,4.053049125753991,325.05830649122026,36172.45285515539,397.72528776172425,4.421580871867269,397.4994819247845,2017-06-30,Monterrey,222247.9033354528,224034.8622866814
2017Q3,944.0,27774384.4992261,302038.0798292421,2211.682135952725,301895.4836872402,29422.01747799375,319.9555930394516,2.3428836185939756,319.8045378042799,13315.60191234814,144.78042449186927,0.45446962029974797,144.73480339508848,79548.88599163735,864.4777915924192,2.3302057814821335,864.6618042569277,2452.5574085739527,26.690680917332017,0.18973448318020553,26.65823270189079,21530.661749456922,234.1786175750139,2.5293453046027023,234.02893205931437,30973.326755366303,336.8225671227344,2.7428325222975123,336.66659516702504,37718.8488893687,410.17226323575204,2.8999268158415386,409.98748792792065,2017-09-30,Monterrey,223330.19659830094,226651.6580383229
2017Q4,944.0,28284811.900006752,307700.7550815373,942.4513214964478,307443.60760876903,29962.724470346137,325.954189705018,0.9983594507377841,325.6817877211537,13396.416147885078,145.636397119011,0.08360564619476685,145.61321899875085,78765.81104444336,856.0088453686127,2.7038275716361864,856.1501200482974,2476.4284553955276,26.924488140163483,0.025204457103455525,26.9177006021253,22137.704081666347,240.86344107717503,1.2507562064890811,240.62721827898204,31631.55417067839,344.1233696178076,1.313632893462459,343.8212409856347,38380.89723669003,417.547834906051,1.1714462068160456,417.1836656161959,2017-12-31,Monterrey,225002.60197574913,230077.05116187283
2018Q1,944.0,27615600.83000304,307141.16244936583,1327.2365934225197,306840.009222256,29253.814438562546,325.3614008997524,1.405970967608666,325.04238265069495,12988.112263661204,144.41578687279718,0.7953118061808349,144.3123584851245,76479.86621102122,849.4522776486593,0.9234144436303261,849.776291233569,2422.247805181847,26.909269492868326,0.03553553857316929,26.913864502020523,21741.80035298707,241.84338174087017,0.746179130097691,241.5755594776341,30938.593793447002,344.1349261556327,1.4170548675648071,343.76215326052227,37416.05800893113,416.1556323885663,2.046862429486166,415.7339778770126,2018-03-31,Monterrey,237688.0447113937,234028.55774636107
2018Q2,944.0,27323552.85759747,300199.5896071434,2189.7427818317956,300258.8226109612,28944.441586438003,318.0080398380752,2.319642777364203,318.0707866641539,12838.244515817567,141.02366357830283,0.941732034396609,141.0796100639293,77514.02613367097,851.1696173187529,2.389088885675838,851.8024849853953,2454.0565032466784,26.9663193575497,0.004648463335311392,26.96765388183163,21574.13072864662,237.06378430761308,1.6444557845321393,237.07835965545738,30598.245843548993,336.2064078171028,2.6094555939563113,336.2444598192197,36936.08884269021,405.8148185985545,3.2450479560756937,405.8910861834089,2018-06-30,Monterrey,242031.8830534396,237979.77799660387
2018Q3,944.0,27083911.683836356,294172.7456634491,1094.8370833830081,294390.3443895256,28690.5844108436,311.6236712536539,1.1597850459565655,311.8541783787348,12778.912042651766,138.78315115917377,0.2893812399537227,138.9012178549105,79782.41623590102,866.8331579154799,6.351030756514521,867.200176477185,2484.443145319751,27.00302541928329,0.024467893984576862,27.00481679695381,21378.06587869523,232.20993991653603,0.970540095791922,232.37028129016554,30258.657673536203,328.66869507618,1.4997742139095673,328.8984529732196,36518.70906792064,396.65291438658573,1.7808381810989102,396.9424898687026,2018-09-30,Monterrey,241553.0225692005,241773.7480504218
2018Q4,944.0,26948002.34960237,292876.9097746182,101.63901453654111,292913.0690174171,28546.61265847709,310.25096374429893,0.10766844760217245,310.2892680269249,12797.338298746918,139.07540515363377,0.2861509966187022,139.1015032472491,82022.66769274951,891.9886746661748,7.010660759633492,891.5507357907555,2500.916359057314,27.180049835720165,0.08662571352528782,27.18387346801428,21239.80368280817,230.8455792361981,0.07199997010304554,230.86743133487144,30006.004321459266,326.06515197067597,0.2855093879568306,326.1522208854268,36235.97611422492,393.75127801228393,0.24681336987547128,393.8693055894013,2018-12-31,Monterrey,242922.51454022035,245520.89639952526
2019Q1,944.0,26525816.288628027,294492.23853687954,1176.5464855494495,294731.292095867,28099.38166168223,311.9621170941524,1.2463416160480179,312.21535179646924,12659.471083913324,140.56995191198646,0.6961101133313906,140.66078982125916,81948.19674208536,910.7061099437626,4.3934263303392465,910.535519356504,2462.4150586001483,27.363598087484664,0.015002081910000829,27.360167317779425,20894.844609170883,231.96120245649394,0.9216463287670668,232.1649401018987,29431.846186264207,326.73618478531967,1.016359461601478,327.0205131807134,35588.37982268502,395.0980170063627,1.3766739955609797,395.426442474278,2019-03-31,Monterrey,243315.1833804244,248360.2244048342
2019Q2,944.0,27375156.064096086,300889.1765153226,2122.869913148914,300825.8908142427,28999.106000101783,318.7385344441974,2.248802874098327,318.671494506613,13068.982755969473,143.68533035715038,0.88563599964252,143.61519512054366,83807.22273104494,921.387935706312,1.2768364593347705,920.9584915499444,2480.9990541990846,27.257423836098287,0.03373527256248997,27.26372587031961,21586.989511410207,237.25130521581147,1.8311529448030837,237.21966496055174,30305.92495299179,333.08228282558997,2.222922616574819,333.0321423405691,36664.78086283067,402.9912347708122,2.650503150268803,402.909679811326,2019-06-30,Monterrey,261563.16616521208,248981.31591199015
